full_name,short_name,short_name_2,type,year,rate
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_25,2019,0.614
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_25,2020,0.624
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_25,2021,0.642
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_25,2016,0.664
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_25,2017,0.713287016
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_25,2018,0.732
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_25,2019,0.720058775
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_25,2020,0.717
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_25,2021,0.726086467
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_25,2016,0.497
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_25,2017,0.5159
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_25,2018,0.571042025
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_25,2019,0.5716
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_25,2020,0.5774
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_25,2021,0.582
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_25,2016,0.638694464
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_25,2017,0.68
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_25,2018,0.706456966
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_25,2019,0.7297
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_25,2020,0.7358
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_25,2021,0.746418919
MaxLife  Insurance Company Ltd.,Max,Max Life,month_25,2016,0.62
MaxLife  Insurance Company Ltd.,Max,Max Life,month_25,2017,0.67
MaxLife  Insurance Company Ltd.,Max,Max Life,month_25,2018,0.69
MaxLife  Insurance Company Ltd.,Max,Max Life,month_25,2019,0.67
MaxLife  Insurance Company Ltd.,Max,Max Life,month_25,2020,0.7
MaxLife  Insurance Company Ltd.,Max,Max Life,month_25,2021,0.67
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_25,2016,0.463
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_25,2017,0.5243
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_25,2018,0.5777
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_25,2019,0.626198323
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_25,2020,0.6271
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_25,2021,0.6301
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_25,2016,0.3471481
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_25,2017,0.468778262
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_25,2018,0.592794295
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_25,2019,0.661
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_25,2020,0.8383
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_25,2021,0.852761034
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_25,2016,0.4486
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_25,2017,0.469
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_25,2018,0.507796314
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_25,2019,0.582406686
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_25,2020,0.6213
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_25,2021,0.613498417
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_25,2016,0.5931
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_25,2017,0.580306976
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_25,2018,0.598064342
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_25,2019,0.62
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_25,2020,0.6333
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_25,2021,0.661907703
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_25,2016,0.333901859
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_25,2017,0.306446895
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_25,2018,0.305760081
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_25,2019,0.416670033
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_25,2020,0.3953
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_25,2021,0.402843358
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_25,2016,0.4421
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_25,2017,0.423048103
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_25,2018,0.5947
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_25,2019,0.607615159
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_25,2020,0.5367
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_25,2021,0.562365321
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_25,2016,0.4583
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_25,2017,0.495769557
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_25,2018,0.4903
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_25,2019,0.5775
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_25,2020,0.6489
TATA AIA Life Insurance Company Ltd.,Tata,Tata AIA Life,month_25,2021,0.636691116
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_37,2016,0.34
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_37,2017,0.37
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_37,2018,0.44
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_37,2019,0.45
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_37,2020,0.44
